Source,Target,weight
Baltimore/Washington International Thurgood Marshall,Newark Liberty International,8
Cleveland-Hopkins International,Southwest Florida International,6
Indianapolis International,Denver International,1
Chicago O'Hare International,Indianapolis International,22
Cleveland-Hopkins International,Indianapolis International,37
George Bush Intercontinental/Houston,Jacksonville International,30
Cleveland-Hopkins International,Orlando International,4
George Bush Intercontinental/Houston,Albuquerque International Sunport,8
George Bush Intercontinental/Houston,Lambert-St. Louis International,13
Lambert-St. Louis International,Chicago O'Hare International,4
Newark Liberty International,Louis Armstrong New Orleans International,8
Dallas/Fort Worth International,Cleveland-Hopkins International,1
Cleveland-Hopkins International,Minneapolis-St Paul International,30
Salt Lake City International,Denver International,1
Cincinnati/Northern Kentucky International,Chicago O'Hare International,1
Eppley Airfield,Chicago O'Hare International,1
Dallas/Fort Worth International,George Bush Intercontinental/Houston,49
Cleveland-Hopkins International,Charlotte Douglas International,7
George Bush Intercontinental/Houston,General Mitchell International,25
Buffalo Niagara International,Chicago O'Hare International,25
Nashville International,Denver International,1
Newark Liberty International,Kansas City International,1
Newark Liberty International,Ronald Reagan Washington National,1
Memphis International,Chicago O'Hare International,27
Washington Dulles International,Detroit Metro Wayne County,44
George Bush Intercontinental/Houston,Tucson International,2
Chicago O'Hare International,Nashville International,1
Logan International,Baltimore/Washington International Thurgood Marshall,6
Logan International,Charlotte Douglas International,3
Logan International,Ronald Reagan Washington National,11
Logan International,Denver International,3
Logan International,Fort Lauderdale-Hollywood International,9
Logan International,Washington Dulles International,4
Logan International,Jacksonville International,2
Logan International,McCarran International,1
Logan International,Los Angeles International,1
Logan International,Long Beach Airport,1
Logan International,Louis Armstrong New Orleans International,1
Logan International,Chicago O'Hare International,1
Logan International,Palm Beach International,1
Logan International,Portland International,3
Logan International,Phoenix Sky Harbor International,1
Logan International,Pittsburgh International,1
Logan International,Raleigh-Durham International,1
Logan International,Richmond International,1
Logan International,Southwest Florida International,1
Logan International,San Diego International,1
Logan International,Seattle/Tacoma International,1
Logan International,San Francisco International,1
Logan International,Norman Y. Mineta San Jose International,1
Logan International,Luis Munoz Marin International,1
Logan International,Tampa International,1
Buffalo Niagara International,Logan International,1
Buffalo Niagara International,Fort Lauderdale-Hollywood International,2
Buffalo Niagara International,John F. Kennedy International,8
Buffalo Niagara International,Orlando International,1
Buffalo Niagara International,Southwest Florida International,1
Bob Hope,John F. Kennedy International,2
Charlotte Douglas International,John F. Kennedy International,3
Ronald Reagan Washington National,Fort Lauderdale-Hollywood International,4
Ronald Reagan Washington National,Orlando International,1
Ronald Reagan Washington National,Luis Munoz Marin International,1
Ronald Reagan Washington National,Tampa International,1
Newark Liberty International,Fort Lauderdale-Hollywood International,6
Newark Liberty International,Orlando International,1
Newark Liberty International,Palm Beach International,1
Newark Liberty International,Southwest Florida International,1
Newark Liberty International,Luis Munoz Marin International,1
Newark Liberty International,Tampa International,1
Fort Lauderdale-Hollywood International,Austin - Bergstrom International,1
Fort Lauderdale-Hollywood International,Bradley International,1
